데이터셋,채널,충방전기,용량(mAh),총사이클,RPT,Rss,가속수명,GITT,initial,unknown,시험종류,RPT주기,스케줄패턴,에러,경로
250207_250307_3_김동진_1689mAh_ATL Q7M Inner 2C 상온수명 1-100cyc,30,Toyo,1689,104,4,0,98,0,1,1,가속수명 시험,34,initial → RPT×3 → 가속수명×98 → RPT → unknown,,C:\Users\Ryu\battery\python\BDT_dev\rawdata\250207_250307_3_김동진_1689mAh_ATL Q7M Inner 2C 상온수명 1-100cyc\30
250207_250307_3_김동진_1689mAh_ATL Q7M Inner 2C 상온수명 1-100cyc,31,Toyo,1689,104,4,0,98,0,1,1,가속수명 시험,34,initial → RPT×3 → 가속수명×98 → RPT → unknown,,C:\Users\Ryu\battery\python\BDT_dev\rawdata\250207_250307_3_김동진_1689mAh_ATL Q7M Inner 2C 상온수명 1-100cyc\31
250219_250319_3_김동진_1689mAh_ATL Q7M Inner 2C 상온수명 101-200cyc,30,Toyo,1689,104,4,0,98,0,1,1,가속수명 시험,34,initial → RPT×3 → 가속수명×98 → RPT → unknown,,C:\Users\Ryu\battery\python\BDT_dev\rawdata\250219_250319_3_김동진_1689mAh_ATL Q7M Inner 2C 상온수명 101-200cyc\30
250219_250319_3_김동진_1689mAh_ATL Q7M Inner 2C 상온수명 101-200cyc,31,Toyo,1689,104,4,0,98,0,1,1,가속수명 시험,34,initial → RPT×3 → 가속수명×98 → RPT → unknown,,C:\Users\Ryu\battery\python\BDT_dev\rawdata\250219_250319_3_김동진_1689mAh_ATL Q7M Inner 2C 상온수명 101-200cyc\31
250304_250404_3_김동진_1689mAh_ATL Q7M Inner 2C 상온수명 201-300cyc,30,Toyo,1689,102,1,0,99,0,1,1,가속수명 시험,,initial → 가속수명×99 → RPT → unknown,,C:\Users\Ryu\battery\python\BDT_dev\rawdata\250304_250404_3_김동진_1689mAh_ATL Q7M Inner 2C 상온수명 201-300cyc\30
250304_250404_3_김동진_1689mAh_ATL Q7M Inner 2C 상온수명 201-300cyc,31,Toyo,1689,102,1,0,99,0,1,1,가속수명 시험,,initial → 가속수명×99 → RPT → unknown,,C:\Users\Ryu\battery\python\BDT_dev\rawdata\250304_250404_3_김동진_1689mAh_ATL Q7M Inner 2C 상온수명 201-300cyc\31
250317_251231_3_김동진_1689mAh_ATL Q7M Inner 2C 상온수명 301-400cyc,30,Toyo,1689,102,1,0,99,0,1,1,가속수명 시험,,initial → 가속수명×99 → RPT → unknown,,C:\Users\Ryu\battery\python\BDT_dev\rawdata\250317_251231_3_김동진_1689mAh_ATL Q7M Inner 2C 상온수명 301-400cyc\30
250317_251231_3_김동진_1689mAh_ATL Q7M Inner 2C 상온수명 301-400cyc,31,Toyo,1689,102,1,0,99,0,1,1,가속수명 시험,,initial → 가속수명×99 → RPT → unknown,,C:\Users\Ryu\battery\python\BDT_dev\rawdata\250317_251231_3_김동진_1689mAh_ATL Q7M Inner 2C 상온수명 301-400cyc\31
250905_250915_00_류성택_4-187mAh_M2-SDI-open-ca-half-14pi-GITT-0.1C-T23,M01Ch025[025],PNE,187,123,0,0,0,2,121,0,기타,,GITT → initial×121 → GITT,,C:\Users\Ryu\battery\python\BDT_dev\rawdata\250905_250915_00_류성택_4-187mAh_M2-SDI-open-ca-half-14pi-GITT-0.1C-T23\M01Ch025[025]
250905_250915_00_류성택_4-376mAh_M2-SDI-open-an-half-14pi-GITT-0.1C-T23,M01Ch024[024],PNE,376,74,0,0,0,1,73,0,기타,,initial → GITT → initial×72,,C:\Users\Ryu\battery\python\BDT_dev\rawdata\250905_250915_00_류성택_4-376mAh_M2-SDI-open-an-half-14pi-GITT-0.1C-T23\M01Ch024[024]
251002_251010_00_박민희_4-19mAh_RatedCh half ca 4.19mAh SDI,M01Ch017[017],PNE,19,6,4,0,0,0,2,0,RPT 전용,1,initial×2 → RPT×4,,C:\Users\Ryu\battery\python\BDT_dev\rawdata\251002_251010_00_박민희_4-19mAh_RatedCh half ca 4.19mAh SDI\M01Ch017[017]
251002_251010_00_박민희_4-19mAh_RatedCh half ca 4.19mAh SDI,M01Ch019[019],PNE,19,6,4,0,0,0,2,0,RPT 전용,1,initial×2 → RPT×4,,C:\Users\Ryu\battery\python\BDT_dev\rawdata\251002_251010_00_박민희_4-19mAh_RatedCh half ca 4.19mAh SDI\M01Ch019[019]
251028_260428_05_나무늬_2335mAh_Q8 ATL 선상 SEU4 RT @1-1202,M01Ch008[008],PNE,2335,760,9,0,749,1,1,0,가속수명 시험,87,initial → RPT → 가속수명×98 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT×2 → 가속수명×98 → RPT → 가속수명×58 → GITT,,C:\Users\Ryu\battery\python\BDT_dev\rawdata\251028_260428_05_나무늬_2335mAh_Q8 ATL 선상 SEU4 RT @1-1202\M01Ch008[008]
251028_260428_05_나무늬_2335mAh_Q8 ATL 선상 SEU4 RT @1-1202,M01Ch014[014],PNE,2335,760,9,0,749,1,1,0,가속수명 시험,87,initial → RPT → 가속수명×98 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT×2 → 가속수명×98 → RPT → 가속수명×58 → GITT,,C:\Users\Ryu\battery\python\BDT_dev\rawdata\251028_260428_05_나무늬_2335mAh_Q8 ATL 선상 SEU4 RT @1-1202\M01Ch014[014]
251028_260428_05_나무늬_2335mAh_Q8 ATL 선상 SEU4 RT @1-1202,M01Ch026[026],PNE,2335,760,9,0,749,1,1,0,가속수명 시험,87,initial → RPT → 가속수명×98 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT×2 → 가속수명×98 → RPT → 가속수명×58 → GITT,,C:\Users\Ryu\battery\python\BDT_dev\rawdata\251028_260428_05_나무늬_2335mAh_Q8 ATL 선상 SEU4 RT @1-1202\M01Ch026[026]
251029_251229_05_나무늬_2335mAh_Q8 선상 ATL SEU4 LT @1-401,M01Ch009[009],PNE,2335,402,5,0,395,1,1,0,가속수명 시험,100,initial → RPT → 가속수명×98 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → GITT,,C:\Users\Ryu\battery\python\BDT_dev\rawdata\251029_251229_05_나무늬_2335mAh_Q8 선상 ATL SEU4 LT @1-401\M01Ch009[009]
251029_251229_05_나무늬_2335mAh_Q8 선상 ATL SEU4 LT @1-401,M01Ch010[010],PNE,2335,402,5,0,395,1,1,0,가속수명 시험,100,initial → RPT → 가속수명×98 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → 가속수명×99 → RPT → GITT,,C:\Users\Ryu\battery\python\BDT_dev\rawdata\251029_251229_05_나무늬_2335mAh_Q8 선상 ATL SEU4 LT @1-401\M01Ch010[010]
