No,카테고리,모델,제조사,개발단계,세대,전압(V),용량(mAh),온도,온도완성,EA수,BLK,사이클힌트,최초폴더,최종폴더,폴더수,파일수,크기(KB),크기변화(%),mAh자동,태그
1,Buds,Buds4,EVE,MP2,,,,23°C/45°C,2/3,,,,260226,260226,1,2,387,,X,
2,Buds,Buds4 Cradle,ATL,-,,,515,23°C,1/3,3,BLK1,,260226,260226,1,1,71,,O,
3,Buds,Buds4 Cradle sepa 4mm,ATL,-,,,515,23°C,1/3,10,,,260226,260226,1,1,204,,O,
4,Buds,Buds4 Pro,ATL,MP2,,,57,23°C,1/3,16,,,260226,260226,1,3,327,,O,
5,Buds,Buds4 Pro Cradle 45V,Cosmx,-,,,515,23°C,1/3,22,"BLK3, BLK5, BLK7",,260226,260226,1,3,530,,O,
6,Buds,Buds4 Pro Cradle 45V 26,Cosmx,-,,,515,45°C,1/3,2,BLK3,300CY,260226,260226,1,1,62,,O,
7,Buds,Buds4 Pro Cradle 45V CHARGE200,Cosmx,-,,,515,23°C,1/3,4,BLK5,,260226,260226,1,1,30,,O,CHARGE200
8,Laptop,GB6 Pro14,ATL,-,,,4286,23°C,1/3,8,BLK2,1200CY,260226,260226,1,2,113,,O,
9,Laptop,GB6 Ultra16,SDI,-,,,5118,23°C,1/3,2,BLK14,1200CY,260226,260226,1,1,55,,O,
10,Phone,A3656,LGES,MP1,2nd,,4905,23°C,1/3,,,,260226,260226,1,2,621,,O,
11,Phone,A3656,LGES,MP2,,,4905,23°C,1/3,,,,260226,260226,1,1,347,,O,
12,Phone,A56 Boost,ATL,-,,4.52,4950,23°C,1/3,17,BLK1,re-test; 1200CY,260226,260226,1,3,995,,O,Boosting
13,Phone,B7 main R,SDI,-,,,1189,45°C,1/3,,,,260226,260226,1,1,75,,O,R-tape
14,Phone,B8 Main,ATL,-,2nd,4.55,1150,15°C/23°C/45°C,3/3,,,,260226,260226,1,3,60,,O,
15,Phone,B8 main,ATL,-,,4.55,1150,15°C/23°C/45°C,3/3,20,,,260226,260226,1,3,681,,O,
16,Phone,B8 main,SDI,-,,4.55,1150,15°C/23°C/45°C,3/3,36,,,260226,260226,1,4,786,,O,
17,Phone,B8 sub,ATL,-,,4.55,3024,15°C/23°C/45°C,3/3,,,,260226,260226,1,3,422,,O,
18,Phone,B8 sub,SDI,-,,4.55,1150,23°C,1/3,20,,,260226,260226,1,1,327,,O,
19,Phone,B8 sub,SDI,-,,4.55,3024,15°C/45°C,2/3,10,,,260226,260226,1,3,273,,O,
20,Phone,Gen4 2C,SDI,MP2,7th,,,23°C,1/3,4,,,260226,260226,1,1,458,,X,
21,Phone,Gen4 45V 2C,Cosmx,MP2,3rd,,,23°C/45°C,2/3,,,301start,260226,260226,1,3,1762,,X,
22,Phone,Gen4 plus 2C,SDI,MP2,3rd,,4931,23°C,1/3,,,,260226,260226,1,1,1075,,O,
23,Phone,Gen5,ATL,MP2,,4.53,4991,23°C,1/3,16,,,260226,260226,1,8,1635,,O,
24,Phone,Gen5,Cosmx,MP1,2nd,4.53,4900,23°C/45°C,2/3,8,,,260226,260226,1,2,716,,O,Graphite
25,Phone,Gen5,Cosmx,MP2,,4.53,4900,15°C/23°C,2/3,20,,,260226,260226,1,2,1173,,O,Graphite
26,Phone,Gen5,Cosmx,MP2,,,,23°C,1/3,14,"BLK10, BLK13, BLK8",,260226,260226,1,3,1270,,X,
