rel_path,exp_folder,capacity_mAh,tc_start,tc_end,loop_count,category,chg_crate,dchg_crate
성능\240821 선행랩 류성택 Gen4pGr mini-ATL-WD-Proto-422mAh-20C-450V-GITT-15도\M01Ch005[005]\240821 선행랩 류성택 Gen4pGr ATL-Mini-422mAh-GITT-15도.sch,240821 선행랩 류성택 Gen4pGr mini-ATL-WD-Proto-422mAh-20C-450V-GITT-15도,422.0,1,1,1,INIT,,1.0
성능\240821 선행랩 류성택 Gen4pGr mini-ATL-WD-Proto-422mAh-20C-450V-GITT-15도\M01Ch005[005]\240821 선행랩 류성택 Gen4pGr ATL-Mini-422mAh-GITT-15도.sch,240821 선행랩 류성택 Gen4pGr mini-ATL-WD-Proto-422mAh-20C-450V-GITT-15도,422.0,2,4,3,FORMATION,0.8,0.5
성능\240821 선행랩 류성택 Gen4pGr mini-ATL-WD-Proto-422mAh-20C-450V-GITT-15도\M01Ch005[005]\240821 선행랩 류성택 Gen4pGr ATL-Mini-422mAh-GITT-15도.sch,240821 선행랩 류성택 Gen4pGr mini-ATL-WD-Proto-422mAh-20C-450V-GITT-15도,422.0,5,109,105,GITT_PULSE,0.1,
성능\240821 선행랩 류성택 Gen4pGr mini-ATL-WD-Proto-422mAh-20C-450V-GITT-15도\M01Ch005[005]\240821 선행랩 류성택 Gen4pGr ATL-Mini-422mAh-GITT-15도.sch,240821 선행랩 류성택 Gen4pGr mini-ATL-WD-Proto-422mAh-20C-450V-GITT-15도,422.0,110,214,105,GITT_PULSE,,0.1
성능\240821 선행랩 류성택 Gen4pGr mini-ATL-WD-Proto-422mAh-20C-450V-GITT-15도\M01Ch006[006]\240821 선행랩 류성택 Gen4pGr ATL-Mini-422mAh-GITT-15도.sch,240821 선행랩 류성택 Gen4pGr mini-ATL-WD-Proto-422mAh-20C-450V-GITT-15도,422.0,1,1,1,INIT,,1.0
성능\240821 선행랩 류성택 Gen4pGr mini-ATL-WD-Proto-422mAh-20C-450V-GITT-15도\M01Ch006[006]\240821 선행랩 류성택 Gen4pGr ATL-Mini-422mAh-GITT-15도.sch,240821 선행랩 류성택 Gen4pGr mini-ATL-WD-Proto-422mAh-20C-450V-GITT-15도,422.0,2,4,3,FORMATION,0.8,0.5
성능\240821 선행랩 류성택 Gen4pGr mini-ATL-WD-Proto-422mAh-20C-450V-GITT-15도\M01Ch006[006]\240821 선행랩 류성택 Gen4pGr ATL-Mini-422mAh-GITT-15도.sch,240821 선행랩 류성택 Gen4pGr mini-ATL-WD-Proto-422mAh-20C-450V-GITT-15도,422.0,5,109,105,GITT_PULSE,0.1,
성능\240821 선행랩 류성택 Gen4pGr mini-ATL-WD-Proto-422mAh-20C-450V-GITT-15도\M01Ch006[006]\240821 선행랩 류성택 Gen4pGr ATL-Mini-422mAh-GITT-15도.sch,240821 선행랩 류성택 Gen4pGr mini-ATL-WD-Proto-422mAh-20C-450V-GITT-15도,422.0,110,214,105,GITT_PULSE,,0.1
성능\240919 선행랩 류성택 Gen4pGr mini-ATL-WD-Proto-422mAh-20C-450V-SOC별DCIR-15도\M01Ch005[005]\240919 선행랩 류성택  Gen4pGr ATL-mini-WD-Proto-422mAh-20C-450V-SOC별DCIR-15도.sch,240919 선행랩 류성택 Gen4pGr mini-ATL-WD-Proto-422mAh-20C-450V-SOC별DCIR-15도,422.0,1,1,1,INIT,,1.0
성능\240919 선행랩 류성택 Gen4pGr mini-ATL-WD-Proto-422mAh-20C-450V-SOC별DCIR-15도\M01Ch005[005]\240919 선행랩 류성택  Gen4pGr ATL-mini-WD-Proto-422mAh-20C-450V-SOC별DCIR-15도.sch,240919 선행랩 류성택 Gen4pGr mini-ATL-WD-Proto-422mAh-20C-450V-SOC별DCIR-15도,422.0,2,4,3,FORMATION,0.8,0.5
