idx,test_category,test_folder,channel,sch_path,n_steps,schedule_description,comment,user_category,created_at,modified_at,block_count_meta,capacity_limit_mAh,error
1,성능,240821 선행랩 류성택 Gen4pGr mini-ATL-WD-Proto-422mAh-20C-450V-GITT-15도,M01Ch005[005],성능/240821 선행랩 류성택 Gen4pGr mini-ATL-WD-Proto-422mAh-20C-450V-GITT-15도/M01Ch005[005]/240821 선행랩 류성택 Gen4pGr ATL-Mini-422mAh-GITT-15도.sch,17,GITT01C_422mAh,"4.5V-3.0V/15,23,45",선행랩_류성택,2024-07-17 오후 3:0,2024-08-21 오,13,464.0,
2,성능,240821 선행랩 류성택 Gen4pGr mini-ATL-WD-Proto-422mAh-20C-450V-GITT-15도,M01Ch006[006],성능/240821 선행랩 류성택 Gen4pGr mini-ATL-WD-Proto-422mAh-20C-450V-GITT-15도/M01Ch006[006]/240821 선행랩 류성택 Gen4pGr ATL-Mini-422mAh-GITT-15도.sch,17,GITT01C_422mAh,"4.5V-3.0V/15,23,45",선행랩_류성택,2024-07-17 오후 3:0,2024-08-21 오,13,464.0,
3,성능,240919 선행랩 류성택 Gen4pGr mini-ATL-WD-Proto-422mAh-20C-450V-SOC별DCIR-15도,M01Ch005[005],성능/240919 선행랩 류성택 Gen4pGr mini-ATL-WD-Proto-422mAh-20C-450V-SOC별DCIR-15도/M01Ch005[005]/240919 선행랩 류성택  Gen4pGr ATL-mini-WD-Proto-422mAh-20C-450V-SOC별DCIR-15도.sch,108,SOC,4.5V-3.0V/0.2C/pulse(20sec/rest:,선행랩_류성택,2024-07-17 오후 3:0,2024-09-19 오,22,464.0,
4,성능,240919 선행랩 류성택 Gen4pGr mini-ATL-WD-Proto-422mAh-20C-450V-SOC별DCIR-15도,M01Ch006[006],성능/240919 선행랩 류성택 Gen4pGr mini-ATL-WD-Proto-422mAh-20C-450V-SOC별DCIR-15도/M01Ch006[006]/240919 선행랩 류성택  Gen4pGr ATL-mini-WD-Proto-422mAh-20C-450V-SOC별DCIR-15도.sch,108,SOC,4.5V-3.0V/0.2C/pulse(20sec/rest:,선행랩_류성택,2024-07-17 오후 3:0,2024-09-19 오,22,464.0,
5,성능,250314_250705_05_나무늬_4900mAh_Gen5 SDI Pre-MP Si5% Floating+9D,M01Ch001[001],성능/250314_250705_05_나무늬_4900mAh_Gen5 SDI Pre-MP Si5% Floating+9D/M01Ch001[001]/250314_250705_05_나무늬_4900mAh_Gen5 SDI Pre-MP Si5% Floating+9D.sch,14,4.53V Floating 4900mAh,0.8C,나무늬,2025-03-05 오전 8:3,2025-03-05 오,1,10290.0,
6,성능,250314_250705_05_나무늬_4900mAh_Gen5 SDI Pre-MP Si5% Floating+9D,M01Ch001[001],성능/250314_250705_05_나무늬_4900mAh_Gen5 SDI Pre-MP Si5% Floating+9D/M01Ch001[001]/250314_250705_05_나무늬_4900mAh_Gen5 SDI Pre-MP Si5% Floating+9D_000.sch,14,4.53V Floating 4900mAh,0.8C,나무늬,2025-03-05 오전 8:3,2025-03-05 오,42,8820.0,
7,성능,250314_250705_05_나무늬_4900mAh_Gen5 SDI Pre-MP Si5% Floating+9D,M01Ch001[001],성능/250314_250705_05_나무늬_4900mAh_Gen5 SDI Pre-MP Si5% Floating+9D/M01Ch001[001]/250314_250705_05_나무늬_4900mAh_Gen5 SDI Pre-MP Si5% Floating+9D_001.sch,14,4.53V Floating 4900mAh,0.8C,나무늬,2025-03-05 오전 8:3,2025-03-05 오,1,9800.0,
8,성능,250314_250705_05_나무늬_4900mAh_Gen5 SDI Pre-MP Si5% Floating+9D,M01Ch002[002],성능/250314_250705_05_나무늬_4900mAh_Gen5 SDI Pre-MP Si5% Floating+9D/M01Ch002[002]/250314_250705_05_나무늬_4900mAh_Gen5 SDI Pre-MP Si5% Floating+9D.sch,14,4.53V Floating 4900mAh,0.8C,나무늬,2025-03-05 오전 8:3,2025-03-05 오,42,8820.0,
9,성능,250513_250526_05_나무늬_2610mAh_Gen5+B SDI MP1 DoE SBR 0.7 DCIR,M01Ch038[038],성능/250513_250526_05_나무늬_2610mAh_Gen5+B SDI MP1 DoE SBR 0.7 DCIR/M01Ch038[038]/250513_250526_05_나무늬_2610mAh_Gen5+B SDI MP1 DoE SBR 0.7 DCIR.sch,105,SOC,4.55V-2.0V/0.2C/pulse(20sec/rest,나무늬,2025-05-13 오전 7:0,2025-05-13 오,2,2871.0,
10,성능,250513_250526_05_나무늬_2610mAh_Gen5+B SDI MP1 Main SBR 0.9 DCIR,M01Ch037[037],성능/250513_250526_05_나무늬_2610mAh_Gen5+B SDI MP1 Main SBR 0.9 DCIR/M01Ch037[037]/250513_250526_05_나무늬_2610mAh_Gen5+B SDI MP1 Main SBR 0.9 DCIR.sch,105,SOC,4.55V-2.0V/0.2C/pulse(20sec/rest,나무늬,2025-05-13 오전 7:0,2025-05-13 오,2,2871.0,
