test_category,exp_folder,sch_file,rel_path,capacity_mAh,schedule_desc,n_steps,n_groups_expanded,total_tc,first_record_interval_s,first_chamber_c,category_summary
성능,240821 선행랩 류성택 Gen4pGr mini-ATL-WD-Proto-422mAh-20C-450V-GITT-15도,240821 선행랩 류성택 Gen4pGr ATL-Mini-422mAh-GITT-15도.sch,성능\240821 선행랩 류성택 Gen4pGr mini-ATL-WD-Proto-422mAh-20C-450V-GITT-15도\M01Ch005[005]\240821 선행랩 류성택 Gen4pGr ATL-Mini-422mAh-GITT-15도.sch,422.0,GITT01C_422mAh,17,4,214,60.0,0,"GITT_PULSE:2, INIT:1, FORMATION:1"
성능,240821 선행랩 류성택 Gen4pGr mini-ATL-WD-Proto-422mAh-20C-450V-GITT-15도,240821 선행랩 류성택 Gen4pGr ATL-Mini-422mAh-GITT-15도.sch,성능\240821 선행랩 류성택 Gen4pGr mini-ATL-WD-Proto-422mAh-20C-450V-GITT-15도\M01Ch006[006]\240821 선행랩 류성택 Gen4pGr ATL-Mini-422mAh-GITT-15도.sch,422.0,GITT01C_422mAh,17,4,214,60.0,0,"GITT_PULSE:2, INIT:1, FORMATION:1"
성능,240919 선행랩 류성택 Gen4pGr mini-ATL-WD-Proto-422mAh-20C-450V-SOC별DCIR-15도,240919 선행랩 류성택  Gen4pGr ATL-mini-WD-Proto-422mAh-20C-450V-SOC별DCIR-15도.sch,성능\240919 선행랩 류성택 Gen4pGr mini-ATL-WD-Proto-422mAh-20C-450V-SOC별DCIR-15도\M01Ch005[005]\240919 선행랩 류성택  Gen4pGr ATL-mini-WD-Proto-422mAh-20C-450V-SOC별DCIR-15도.sch,422.0,SOC��DCIR������_422mAh,108,10,96,1.0,0,"SOC_DCIR:4, ACCEL:2, INIT:1, FORMATION:1, RPT:1, CHARGE_SET:1"
성능,240919 선행랩 류성택 Gen4pGr mini-ATL-WD-Proto-422mAh-20C-450V-SOC별DCIR-15도,240919 선행랩 류성택  Gen4pGr ATL-mini-WD-Proto-422mAh-20C-450V-SOC별DCIR-15도.sch,성능\240919 선행랩 류성택 Gen4pGr mini-ATL-WD-Proto-422mAh-20C-450V-SOC별DCIR-15도\M01Ch006[006]\240919 선행랩 류성택  Gen4pGr ATL-mini-WD-Proto-422mAh-20C-450V-SOC별DCIR-15도.sch,422.0,SOC��DCIR������_422mAh,108,10,96,1.0,0,"SOC_DCIR:4, ACCEL:2, INIT:1, FORMATION:1, RPT:1, CHARGE_SET:1"
성능,250314_250705_05_나무늬_4900mAh_Gen5 SDI Pre-MP Si5% Floating+9D,250314_250705_05_나무늬_4900mAh_Gen5 SDI Pre-MP Si5% Floating+9D.sch,성능\250314_250705_05_나무늬_4900mAh_Gen5 SDI Pre-MP Si5% Floating+9D\M01Ch001[001]\250314_250705_05_나무늬_4900mAh_Gen5 SDI Pre-MP Si5% Floating+9D.sch,4900.0,4.53V Floating 4900mAh,14,3,3,60.0,0,"INIT:1, RPT:1, FLOATING:1"
성능,250314_250705_05_나무늬_4900mAh_Gen5 SDI Pre-MP Si5% Floating+9D,250314_250705_05_나무늬_4900mAh_Gen5 SDI Pre-MP Si5% Floating+9D_000.sch,성능\250314_250705_05_나무늬_4900mAh_Gen5 SDI Pre-MP Si5% Floating+9D\M01Ch001[001]\250314_250705_05_나무늬_4900mAh_Gen5 SDI Pre-MP Si5% Floating+9D_000.sch,4900.0,4.53V Floating 4900mAh,14,3,3,60.0,0,"INIT:1, RPT:1, FLOATING:1"
성능,250314_250705_05_나무늬_4900mAh_Gen5 SDI Pre-MP Si5% Floating+9D,250314_250705_05_나무늬_4900mAh_Gen5 SDI Pre-MP Si5% Floating+9D_001.sch,성능\250314_250705_05_나무늬_4900mAh_Gen5 SDI Pre-MP Si5% Floating+9D\M01Ch001[001]\250314_250705_05_나무늬_4900mAh_Gen5 SDI Pre-MP Si5% Floating+9D_001.sch,4900.0,4.53V Floating 4900mAh,14,3,3,60.0,0,"INIT:1, RPT:1, FLOATING:1"
성능,250314_250705_05_나무늬_4900mAh_Gen5 SDI Pre-MP Si5% Floating+9D,250314_250705_05_나무늬_4900mAh_Gen5 SDI Pre-MP Si5% Floating+9D.sch,성능\250314_250705_05_나무늬_4900mAh_Gen5 SDI Pre-MP Si5% Floating+9D\M01Ch002[002]\250314_250705_05_나무늬_4900mAh_Gen5 SDI Pre-MP Si5% Floating+9D.sch,4900.0,4.53V Floating 4900mAh,14,3,3,60.0,0,"INIT:1, RPT:1, FLOATING:1"
성능,250513_250526_05_나무늬_2610mAh_Gen5+B SDI MP1 DoE SBR 0.7 DCIR,250513_250526_05_나무늬_2610mAh_Gen5+B SDI MP1 DoE SBR 0.7 DCIR.sch,성능\250513_250526_05_나무늬_2610mAh_Gen5+B SDI MP1 DoE SBR 0.7 DCIR\M01Ch038[038]\250513_250526_05_나무늬_2610mAh_Gen5+B SDI MP1 DoE SBR 0.7 DCIR.sch,2610.0,SOC�� DCIR ������_2610mAh,105,9,95,1.0,0,"SOC_DCIR:4, ACCEL:2, INIT:1, FORMATION:1, RPT:1"
성능,250513_250526_05_나무늬_2610mAh_Gen5+B SDI MP1 Main SBR 0.9 DCIR,250513_250526_05_나무늬_2610mAh_Gen5+B SDI MP1 Main SBR 0.9 DCIR.sch,성능\250513_250526_05_나무늬_2610mAh_Gen5+B SDI MP1 Main SBR 0.9 DCIR\M01Ch037[037]\250513_250526_05_나무늬_2610mAh_Gen5+B SDI MP1 Main SBR 0.9 DCIR.sch,2610.0,SOC�� DCIR ������_2610mAh,105,9,95,1.0,0,"SOC_DCIR:4, ACCEL:2, INIT:1, FORMATION:1, RPT:1"
