test_category,exp_folder,sch_file,rel_path,capacity_mAh,schedule_desc,group_idx,tc_start,tc_end,loop_count,category,sub_tag,chg_crate,dchg_crate,n_chg_step,n_dchg_step,n_rest_step,body_size,ref_steps_used,mode1_pct,n_dchg_cccv_mode0,chamber_c
성능,240821 선행랩 류성택 Gen4pGr mini-ATL-WD-Proto-422mAh-20C-450V-GITT-15도,240821 선행랩 류성택 Gen4pGr ATL-Mini-422mAh-GITT-15도.sch,성능\240821 선행랩 류성택 Gen4pGr mini-ATL-WD-Proto-422mAh-20C-450V-GITT-15도\M01Ch005[005]\240821 선행랩 류성택 Gen4pGr ATL-Mini-422mAh-GITT-15도.sch,422.0,GITT01C_422mAh,0,1,1,1,INIT,,,1.0,0,1,0,1,,100.0,0,0
성능,240821 선행랩 류성택 Gen4pGr mini-ATL-WD-Proto-422mAh-20C-450V-GITT-15도,240821 선행랩 류성택 Gen4pGr ATL-Mini-422mAh-GITT-15도.sch,성능\240821 선행랩 류성택 Gen4pGr mini-ATL-WD-Proto-422mAh-20C-450V-GITT-15도\M01Ch005[005]\240821 선행랩 류성택 Gen4pGr ATL-Mini-422mAh-GITT-15도.sch,422.0,GITT01C_422mAh,1,2,4,3,FORMATION,,0.8,0.5,1,1,2,4,,50.0,0,0
성능,240821 선행랩 류성택 Gen4pGr mini-ATL-WD-Proto-422mAh-20C-450V-GITT-15도,240821 선행랩 류성택 Gen4pGr ATL-Mini-422mAh-GITT-15도.sch,성능\240821 선행랩 류성택 Gen4pGr mini-ATL-WD-Proto-422mAh-20C-450V-GITT-15도\M01Ch005[005]\240821 선행랩 류성택 Gen4pGr ATL-Mini-422mAh-GITT-15도.sch,422.0,GITT01C_422mAh,2,5,109,105,GITT_PULSE,,0.1,,1,0,1,2,,0.0,0,0
성능,240821 선행랩 류성택 Gen4pGr mini-ATL-WD-Proto-422mAh-20C-450V-GITT-15도,240821 선행랩 류성택 Gen4pGr ATL-Mini-422mAh-GITT-15도.sch,성능\240821 선행랩 류성택 Gen4pGr mini-ATL-WD-Proto-422mAh-20C-450V-GITT-15도\M01Ch005[005]\240821 선행랩 류성택 Gen4pGr ATL-Mini-422mAh-GITT-15도.sch,422.0,GITT01C_422mAh,3,110,214,105,GITT_PULSE,,,0.1,0,1,1,2,,0.0,0,0
성능,240821 선행랩 류성택 Gen4pGr mini-ATL-WD-Proto-422mAh-20C-450V-GITT-15도,240821 선행랩 류성택 Gen4pGr ATL-Mini-422mAh-GITT-15도.sch,성능\240821 선행랩 류성택 Gen4pGr mini-ATL-WD-Proto-422mAh-20C-450V-GITT-15도\M01Ch006[006]\240821 선행랩 류성택 Gen4pGr ATL-Mini-422mAh-GITT-15도.sch,422.0,GITT01C_422mAh,0,1,1,1,INIT,,,1.0,0,1,0,1,,100.0,0,0
성능,240821 선행랩 류성택 Gen4pGr mini-ATL-WD-Proto-422mAh-20C-450V-GITT-15도,240821 선행랩 류성택 Gen4pGr ATL-Mini-422mAh-GITT-15도.sch,성능\240821 선행랩 류성택 Gen4pGr mini-ATL-WD-Proto-422mAh-20C-450V-GITT-15도\M01Ch006[006]\240821 선행랩 류성택 Gen4pGr ATL-Mini-422mAh-GITT-15도.sch,422.0,GITT01C_422mAh,1,2,4,3,FORMATION,,0.8,0.5,1,1,2,4,,50.0,0,0
성능,240821 선행랩 류성택 Gen4pGr mini-ATL-WD-Proto-422mAh-20C-450V-GITT-15도,240821 선행랩 류성택 Gen4pGr ATL-Mini-422mAh-GITT-15도.sch,성능\240821 선행랩 류성택 Gen4pGr mini-ATL-WD-Proto-422mAh-20C-450V-GITT-15도\M01Ch006[006]\240821 선행랩 류성택 Gen4pGr ATL-Mini-422mAh-GITT-15도.sch,422.0,GITT01C_422mAh,2,5,109,105,GITT_PULSE,,0.1,,1,0,1,2,,0.0,0,0
성능,240821 선행랩 류성택 Gen4pGr mini-ATL-WD-Proto-422mAh-20C-450V-GITT-15도,240821 선행랩 류성택 Gen4pGr ATL-Mini-422mAh-GITT-15도.sch,성능\240821 선행랩 류성택 Gen4pGr mini-ATL-WD-Proto-422mAh-20C-450V-GITT-15도\M01Ch006[006]\240821 선행랩 류성택 Gen4pGr ATL-Mini-422mAh-GITT-15도.sch,422.0,GITT01C_422mAh,3,110,214,105,GITT_PULSE,,,0.1,0,1,1,2,,0.0,0,0
성능,240919 선행랩 류성택 Gen4pGr mini-ATL-WD-Proto-422mAh-20C-450V-SOC별DCIR-15도,240919 선행랩 류성택  Gen4pGr ATL-mini-WD-Proto-422mAh-20C-450V-SOC별DCIR-15도.sch,성능\240919 선행랩 류성택 Gen4pGr mini-ATL-WD-Proto-422mAh-20C-450V-SOC별DCIR-15도\M01Ch005[005]\240919 선행랩 류성택  Gen4pGr ATL-mini-WD-Proto-422mAh-20C-450V-SOC별DCIR-15도.sch,422.0,SOC��DCIR������_422mAh,0,1,1,1,INIT,,,1.0,0,1,0,1,,0.0,0,0
성능,240919 선행랩 류성택 Gen4pGr mini-ATL-WD-Proto-422mAh-20C-450V-SOC별DCIR-15도,240919 선행랩 류성택  Gen4pGr ATL-mini-WD-Proto-422mAh-20C-450V-SOC별DCIR-15도.sch,성능\240919 선행랩 류성택 Gen4pGr mini-ATL-WD-Proto-422mAh-20C-450V-SOC별DCIR-15도\M01Ch005[005]\240919 선행랩 류성택  Gen4pGr ATL-mini-WD-Proto-422mAh-20C-450V-SOC별DCIR-15도.sch,422.0,SOC��DCIR������_422mAh,1,2,4,3,FORMATION,,0.8,0.5,1,1,2,4,,100.0,0,0
